== Nodes = 64
== Processes = 8192

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                    2222.62
2                    2570.60
4                    2713.68
8                    3030.94
16                   4486.32
32                   7324.82
64                  13696.17
128                 27970.33
256                 58381.41
512                137367.22
1024               145653.23
2048               225412.05
4096               302025.81
8192               432415.37
16384              881979.09
32768             1886097.23
65536             3695635.05
