== Nodes = 128
== Processes = 16384

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                     203.36
8                     129.59
16                    129.26
32                    123.82
64                    114.44
128                   145.34
256                   123.46
512                   141.53
1024                  158.41
2048                  228.62
4096                  321.24
8192                  535.22
16384                1032.26
32768                1866.52
65536                 428.05
131072                602.79
262144                614.42
524288                937.26
1048576              2163.52
