== Nodes = 32
== Processes = 4096

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                      95.11
2                     108.63
4                     124.28
8                     164.32
16                    284.01
32                    453.02
64                    766.43
128                  1407.36
256                  2671.34
512                  5170.83
1024                11544.82
2048                25014.89
4096                45623.58
8192                45482.92
16384               71733.93
32768              140482.61
65536              288362.12
131072             572339.86
