== Nodes = 128
== Processes = 16384

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                    5137.13
2                    5586.53
4                    5693.84
8                    6399.08
16                   9292.24
32                  15804.80
64                  31285.10
128                 63892.54
256                143883.88
512                365682.23
1024               384437.64
2048               587153.40
4096               672011.65
8192               907607.90
16384             1562253.56
32768             3242139.00
