== Nodes = 4
== Processes = 512

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                     111.70
2                     106.42
4                     108.01
8                     137.57
16                    171.55
32                    250.59
64                    418.13
128                   763.50
256                  1604.37
512                  3267.78
1024                 2807.21
2048                 6658.38
4096                11269.48
8192                18707.46
16384               35732.23
32768               72663.10
65536              146463.10
131072             295052.50
262144             602728.76
524288            1236316.20
1048576           2510662.44
