== Nodes = 128
== Processes = 16384

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                     698.18
2                     789.55
4                    1026.71
8                    1449.11
16                   2273.56
32                   2970.29
64                   4689.76
128                  7636.60
256                 15572.49
512                 30947.95
1024                54758.68
2048               103200.64
4096               198912.59
8192               693281.64
16384              290537.35
32768              570585.29
