== Nodes = 32
== Processes = 4096

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                    1061.27
2                    1081.52
4                    1151.45
8                    1442.50
16                   1945.22
32                   3058.28
64                   5717.14
128                 11510.86
256                 23856.60
512                 59167.58
1024                58333.77
2048                86511.31
4096               129201.69
8192               204239.23
16384              368220.45
32768              760592.55
65536             1546450.71
131072            3142655.10
