== Nodes = 4
== Processes = 512

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                     786.49
2                     793.43
4                     795.10
8                     792.35
16                    807.48
32                    829.57
64                    853.79
128                   953.90
256                  1271.54
512                  1705.30
1024                 2519.69
2048                 5293.17
4096                10976.73
8192                19156.89
16384               36409.21
32768               72448.14
65536              152733.80
131072             313679.73
262144             644962.75
