== Nodes = 2
== Processes = 256

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                      10.32
2                      15.79
4                      16.27
8                      22.48
16                     29.73
32                     40.65
64                     45.52
128                    67.91
256                   108.61
512                   194.20
1024                  351.86
2048                 1174.71
4096                 1425.37
8192                 1769.31
16384                2982.07
32768                8362.16
65536               16881.96
131072              33609.79
262144              67638.90
524288             135618.52
1048576            273767.08
