== Nodes = 16
== Processes = 2048

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                      59.38
2                      66.93
4                      78.85
8                      94.57
16                    126.11
32                    230.02
64                    379.04
128                   656.43
256                  1216.44
512                  2315.30
1024                 4475.73
2048                10377.27
4096                22581.89
8192                22309.84
16384               35527.38
32768               69860.34
65536              143455.74
131072             284386.78
262144             574379.44
