== Nodes = 64
== Processes = 8192

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                   87801.01
2                   88291.34
4                   88629.48
8                   89162.04
16                  90961.42
32                  90733.13
64                  89888.66
128                 90287.38
256                 92615.17
512                 97419.42
1024               104420.15
2048               125747.87
4096               257037.40
8192               424808.93
16384              854526.55
32768             1742928.14
65536             3732483.64
