== Nodes = 16
== Processes = 2048

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                     472.35
2                     521.34
4                     532.20
8                     615.56
16                    903.44
32                   1256.13
64                   2415.68
128                  4805.98
256                  9897.61
512                 18583.55
1024                19780.29
2048                38329.92
4096                59196.18
8192                95511.71
16384              176391.75
32768              366195.22
65536              744215.91
131072            1511876.51
262144            3073757.25
