== Nodes = 4
== Processes = 512

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                      25.97
2                      20.10
4                      32.39
8                      32.80
16                     51.99
32                     56.60
64                     79.44
128                   143.12
256                   246.90
512                   443.61
1024                  830.14
2048                 2735.97
4096                 3298.10
8192                 4757.01
16384                8636.68
32768               16959.39
65536               34801.31
131072              68887.05
262144             138975.28
524288             278741.78
1048576            561903.49
