== Nodes = 8
== Processes = 1024

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      16.83
8                      28.90
16                     13.17
32                     15.87
64                     22.88
128                    16.19
256                    31.95
512                    31.31
1024                   42.61
2048                   78.19
4096                   53.17
8192                   59.97
16384                  81.06
32768                  90.97
65536                 117.52
131072                256.89
262144                354.38
524288                658.81
1048576              1306.40
