== Nodes = 1
== Processes = 128

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                       5.64
2                       6.18
4                       9.96
8                      11.65
16                     13.74
32                     17.65
64                     28.80
128                    27.31
256                    40.87
512                    63.88
1024                  114.19
2048                  158.41
4096                  266.30
8192                  495.34
16384                1019.14
32768                2258.67
65536                8113.57
131072              16193.46
262144              32379.99
524288              64603.34
1048576            130410.29
