== Nodes = 32
== Processes = 4096

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      62.23
8                      53.64
16                     56.81
32                     55.73
64                     55.51
128                    64.78
256                    66.49
512                    87.08
1024                   94.58
2048                  132.84
4096                  217.20
8192                  381.78
16384                 182.58
32768                 196.52
65536                 213.75
131072                325.04
262144                442.58
524288                719.44
1048576              1475.92
