== Nodes = 16
== Processes = 2048

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                    6202.97
2                    6180.67
4                    6170.57
8                    6126.89
16                   6316.14
32                   6283.32
64                   6379.48
128                  6810.77
256                  8054.05
512                  9962.32
1024                13222.03
2048                29218.99
4096                60462.20
8192                99001.19
16384              184720.12
32768              370884.66
65536              790010.70
131072            1631688.84
262144            3468790.94
