== Nodes = 1
== Processes = 128

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                       3.90
8                       3.94
16                      4.07
32                      4.28
64                      5.27
128                     8.43
256                     9.60
512                     8.99
1024                   12.77
2048                   22.21
4096                   14.93
8192                   19.83
16384                  28.96
32768                  42.51
65536                  88.86
131072                159.92
262144                299.81
524288                576.52
1048576              1106.42
