== Nodes = 32
== Processes = 4096

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                     205.40
2                     217.17
4                     286.48
8                     377.62
16                    608.83
32                    762.02
64                   1123.64
128                  1708.45
256                  2995.45
512                  5427.94
1024                11970.70
2048                25653.65
4096                45470.40
8192                44995.52
16384               71890.26
32768              140439.64
65536              288704.86
131072             572780.96
