== Nodes = 2
== Processes = 256

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                       6.64
8                       9.77
16                      9.50
32                      7.81
64                      7.81
128                    11.40
256                    15.50
512                    16.00
1024                   20.63
2048                   40.99
4096                   24.54
8192                   33.90
16384                  38.47
32768                  59.28
65536                  94.91
131072                172.01
262144                333.53
524288                620.61
1048576              1191.43
