== Nodes = 2
== Processes = 256

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                      16.84
2                      20.27
4                      23.75
8                      29.34
16                     35.01
32                     46.81
64                     70.46
128                    91.36
256                   133.13
512                   213.56
1024                  359.63
2048                 1176.68
4096                 1430.66
8192                 1776.42
16384                2967.30
32768                8358.07
65536               16900.61
131072              33668.63
262144              67690.77
524288             135743.30
1048576            273893.94
