== Nodes = 64
== Processes = 8192

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                     101.94
8                      95.88
16                     94.91
32                     92.17
64                    102.99
128                    96.87
256                   104.90
512                   117.55
1024                  127.54
2048                  178.28
4096                  272.14
8192                  476.20
16384                 925.68
32768                 267.81
65536                 302.36
131072                368.31
262144                493.71
524288                768.59
1048576              1694.96
