== Nodes = 8
== Processes = 1024

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                     234.59
2                     232.60
4                     261.96
8                     285.43
16                    370.74
32                    572.82
64                    968.56
128                  1984.04
256                  4028.23
512                  8243.29
1024                 7341.56
2048                16837.59
4096                28182.79
8192                45861.72
16384               83033.13
32768              170424.56
65536              346540.04
131072             702900.65
262144            1431989.28
524288            2925065.69
