== Nodes = 128
== Processes = 16384

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                     233.45
2                     223.58
4                     374.04
8                     595.71
16                   1006.31
32                   1796.05
64                   3322.69
128                  6471.10
256                 13530.47
512                 29536.29
1024                53247.11
2048                98052.85
4096               188134.88
8192               672151.59
16384              290431.79
32768              571003.25
