== Nodes = 8
== Processes = 1024

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                      32.78
2                      37.70
4                      49.58
8                      61.10
16                     67.92
32                    102.89
64                    185.90
128                   328.62
256                   557.86
512                  1046.84
1024                 1997.53
2048                 3823.41
4096                 9185.22
8192                11029.06
16384               17538.07
32768               34607.74
65536               70829.92
131072             140068.01
262144             283349.12
524288             569443.28
