== Nodes = 1
== Processes = 128

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                      64.74
2                      65.59
4                      64.55
8                      64.83
16                     65.05
32                     70.93
64                     69.98
128                   115.39
256                   130.41
512                   188.13
1024                  367.66
2048                  814.89
4096                 1736.15
8192                 3703.64
16384                1282.63
32768                6010.85
65536               12417.02
131072              25227.00
262144              51182.25
524288             103340.62
1048576            208032.92
