== Nodes = 2
== Processes = 256

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                     259.30
2                     255.68
4                     253.07
8                     251.98
16                    257.82
32                    262.13
64                    274.80
128                   318.81
256                   406.03
512                   564.33
1024                  833.91
2048                 1643.78
4096                 3284.74
8192                 6547.75
16384               12161.20
32768               24444.04
65536               50962.49
131072             103545.95
262144             211124.79
524288             426492.81
1048576            851767.22
