== Nodes = 16
== Processes = 2048

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      37.21
8                      24.21
16                     30.05
32                     36.14
64                     35.74
128                    28.82
256                    42.74
512                    54.19
1024                   71.97
2048                  106.44
4096                  174.82
8192                  100.36
16384                 119.30
32768                 139.76
65536                 171.92
131072                269.91
262144                410.23
524288                695.48
1048576              1400.37
