== Nodes = 64
== Processes = 8192

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                     369.82
2                     442.05
4                     534.55
8                     772.31
16                   1184.56
32                   1504.56
64                   2309.50
128                  3613.04
256                  6519.32
512                 13310.75
1024                27820.82
2048                51140.23
4096                97305.77
8192               116254.70
16384              144376.96
32768              282240.64
65536              579817.21
