== Nodes = 1
== Processes = 128

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                      23.46
2                      25.69
4                      25.44
8                      27.17
16                     29.92
32                     37.90
64                     61.44
128                   124.18
256                   210.50
512                   386.20
1024                  311.50
2048                  636.66
4096                 1286.05
8192                 2714.08
16384                1218.89
32768                5859.65
65536               11711.12
131072              23189.41
262144              46095.92
524288              91889.03
1048576            183250.48
