== Nodes = 8
== Processes = 1024

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                      58.03
2                      62.88
4                      71.18
8                      86.38
16                    153.25
32                    179.79
64                    276.14
128                   396.46
256                   644.75
512                  1103.50
1024                 2028.34
2048                 3822.03
4096                 9468.91
8192                11079.87
16384               17583.17
32768               34612.52
65536               70986.33
131072             140447.80
262144             282966.89
524288             567577.43
