== Nodes = 1
== Processes = 128

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                       8.52
2                       9.18
4                      13.31
8                      14.64
16                     17.21
32                     21.16
64                     32.33
128                    40.80
256                    57.41
512                    79.29
1024                  130.61
2048                  159.60
4096                  269.34
8192                  498.11
16384                1018.31
32768                2235.96
65536                8108.26
131072              16186.94
262144              32377.75
524288              64615.04
1048576            130467.63
