== Nodes = 4
== Processes = 512

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                      33.00
2                      39.57
4                      39.35
8                      48.91
16                     64.22
32                    100.76
64                    128.06
128                   187.11
256                   297.05
512                   479.36
1024                  847.84
2048                 2739.79
4096                 3318.68
8192                 4794.92
16384                8657.44
32768               16990.86
65536               34738.54
131072              68882.39
262144             139010.79
524288             278933.33
1048576            565653.36
