== Nodes = 1
== Processes = 128

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                       4.09
8                       3.86
16                      3.88
32                      4.19
64                      5.05
128                     8.10
256                     9.76
512                    13.01
1024                   15.06
2048                   23.57
4096                   27.77
8192                   27.63
16384                  34.72
32768                  58.98
65536                  93.88
131072                196.43
262144                430.74
524288                921.36
1048576              1968.03
