== Nodes = 8
== Processes = 1024

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                     206.74
2                     213.73
4                     227.11
8                     262.36
16                    389.21
32                    562.48
64                    983.63
128                  2177.16
256                  5514.51
512                 11124.80
1024                 7415.56
2048                11718.47
4096                21243.48
8192                41564.19
16384               82301.86
32768              165617.46
65536              334046.61
131072             672165.34
262144            1352965.60
524288            2751380.63
