== Nodes = 8
== Processes = 1024

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                    3564.76
2                    3532.39
4                    3542.52
8                    3547.01
16                   3541.59
32                   3535.22
64                   3586.07
128                  3673.20
256                  4041.54
512                  4909.37
1024                 7390.50
2048                12039.98
4096                21113.16
8192                41684.36
16384               82733.43
32768              164773.90
65536              330970.51
131072             664810.88
262144            1338196.86
524288            2762808.51
