== Nodes = 1
== Processes = 128

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                       6.74
2                       6.80
4                      10.76
8                      11.72
16                     13.36
32                     16.41
64                     25.79
128                    41.35
256                    70.96
512                   171.76
1024                  348.01
2048                  174.09
4096                  286.78
8192                 1059.08
16384                1945.16
32768                3785.87
65536                7622.30
131072              15165.31
262144              30190.18
524288              60303.48
1048576            121376.50
