== Nodes = 1
== Processes = 128

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                     116.46
2                     114.30
4                     112.47
8                     110.85
16                    114.70
32                    113.39
64                    119.50
128                   122.63
256                   148.26
512                   190.17
1024                  331.66
2048                  621.74
4096                 1226.21
8192                 1653.62
16384                2546.94
32768                5474.78
65536               13654.91
131072              27104.00
262144              54455.62
524288             109417.08
1048576            220286.68
