== Nodes = 8
== Processes = 1024

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                      51.70
2                      53.81
4                      57.05
8                      99.33
16                    146.21
32                    186.49
64                    345.19
128                   573.84
256                  1054.58
512                  1807.68
1024                 3421.45
2048                 6416.17
4096                12130.52
8192                 8466.70
16384               16484.35
32768               33341.67
65536               67923.39
131072             136133.89
262144             271858.57
524288             549142.11
