== Nodes = 2
== Processes = 256

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                       6.75
8                       7.03
16                      6.79
32                      6.99
64                      7.97
128                    11.19
256                    13.36
512                    19.91
1024                   23.70
2048                   36.59
4096                   37.11
8192                   37.69
16384                  44.18
32768                  67.44
65536                 109.19
131072                226.63
262144                452.44
524288                949.48
1048576              2027.57
