== Nodes = 4
== Processes = 512

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      10.04
8                      10.04
16                     10.02
32                     10.40
64                     11.56
128                    14.85
256                    17.62
512                    27.46
1024                   32.88
2048                   50.55
4096                   47.20
8192                   50.04
16384                  55.22
32768                  77.72
65536                 119.91
131072                233.32
262144                462.01
524288                960.22
1048576              2068.65
