== Nodes = 32
== Processes = 4096

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                      47.58
2                      61.09
4                      83.76
8                     128.18
16                    296.22
32                    560.05
64                   1070.38
128                  1826.49
256                  3390.64
512                  6561.87
1024                12471.91
2048                23496.66
4096                41544.92
8192                34494.70
16384               68813.25
32768              135760.85
65536              276276.20
131072             556619.01
