== Nodes = 4
== Processes = 512

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                      21.12
2                      21.76
4                      23.52
8                      27.21
16                     39.97
32                     59.33
64                     96.95
128                   232.97
256                   444.93
512                   841.15
1024                 1533.71
2048                  742.26
4096                 1223.45
8192                 4201.20
16384                7963.57
32768               15953.97
65536               33138.83
131072              66303.53
262144             132147.38
524288             263068.83
1048576            535465.10
