== Nodes = 2
== Processes = 256

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                      55.99
2                      57.96
4                      59.50
8                      63.58
16                     76.37
32                    105.26
64                    163.48
128                   308.44
256                   624.60
512                  1507.99
1024                 1020.09
2048                 1628.37
4096                 2949.60
8192                 5726.77
16384               11465.45
32768               22976.02
65536               46102.19
131072              92860.41
262144             187067.68
524288             373189.58
1048576            755262.11
