== Nodes = 32
== Processes = 4096

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      17.19
8                      17.57
16                     17.15
32                     17.76
64                     18.72
128                    22.45
256                    26.56
512                    49.17
1024                   60.56
2048                   94.26
4096                  166.31
8192                  358.71
16384                 135.06
32768                 139.47
65536                 212.50
131072                338.97
262144                550.70
524288               1087.68
1048576              2384.39
