== Nodes = 32
== Processes = 4096

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                     939.53
2                     984.85
4                    1032.54
8                    1267.54
16                   1815.97
32                   2880.28
64                   7254.66
128                 15020.20
256                 28812.74
512                 25878.98
1024                35951.67
2048                58532.60
4096               103044.93
8192               180939.07
16384              359726.78
32768              719019.94
65536             1442822.02
131072            2895013.36
