== Nodes = 64
== Processes = 8192

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                     305.68
2                     393.44
4                     481.30
8                     767.68
16                   1260.28
32                   1764.12
64                   2416.10
128                  3949.98
256                  7195.77
512                 13572.93
1024                25349.62
2048                45254.95
4096                92589.14
8192                68869.62
16384              138711.51
32768              272946.83
65536              556384.23
