== Nodes = 64
== Processes = 8192

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      23.45
8                      21.90
16                     23.32
32                     22.76
64                     26.42
128                    28.71
256                    32.27
512                    66.86
1024                   79.80
2048                  124.77
4096                  208.95
8192                  421.83
16384                 785.27
32768                 173.45
65536                 218.99
131072                356.84
262144                605.20
524288               1113.88
1048576              2351.30
