== Nodes = 16
== Processes = 2048

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                     427.65
2                     444.24
4                     467.66
8                     598.71
16                    850.93
32                   1252.22
64                   2466.13
128                  6544.59
256                 13180.87
512                 11467.71
1024                16557.02
2048                26089.91
4096                46615.82
8192                87131.12
16384              173577.46
32768              347398.02
65536              698639.80
131072            1404902.01
262144            2830731.83
