== Nodes = 4
== Processes = 512

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                      33.04
2                      34.27
4                      35.86
8                      39.28
16                     82.39
32                    101.60
64                    146.15
128                   276.40
256                   507.61
512                   875.72
1024                 1556.45
2048                  741.49
4096                 1222.47
8192                 4202.22
16384                7967.68
32768               15931.08
65536               32815.11
131072              66264.74
262144             132146.70
524288             262602.44
1048576            534860.52
