== Nodes = 1
== Processes = 128

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                       9.83
2                       9.89
4                      14.30
8                      15.14
16                     16.86
32                     19.83
64                     38.81
128                    53.38
256                    86.95
512                   195.26
1024                  381.74
2048                  172.73
4096                  285.70
8192                 1062.96
16384                1943.95
32768                3785.13
65536                7628.33
131072              15159.50
262144              30180.74
524288              60226.48
1048576            121314.27
