== Nodes = 4
== Processes = 512

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                    1366.52
2                    1367.00
4                    1368.00
8                    1365.75
16                   1384.37
32                   1362.36
64                   1381.72
128                  1409.51
256                  1621.70
512                  2051.63
1024                 3067.98
2048                 4985.76
4096                 8845.57
8192                17464.29
16384               35219.07
32768               70470.03
65536              141408.23
131072             284672.24
262144             576255.80
524288            1151675.12
1048576           2325040.24
