== Nodes = 2
== Processes = 256

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                     460.60
2                     463.18
4                     462.35
8                     462.14
16                    461.43
32                    462.51
64                    469.62
128                   480.76
256                   562.84
512                   699.77
1024                 1022.00
2048                 1710.81
4096                 2997.80
8192                 5704.24
16384               11618.68
32768               23114.26
65536               46166.56
131072              92972.33
262144             188435.83
524288             372998.53
1048576            749012.47
