== Nodes = 16
== Processes = 2048

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                      81.00
2                      86.14
4                     128.76
8                     180.31
16                    280.23
32                    436.07
64                    714.00
128                  1183.52
256                  1938.84
512                  3506.63
1024                 6569.13
2048                12552.73
4096                23553.91
8192                17146.93
16384               34425.33
32768               67559.98
65536              137166.57
131072             276361.80
262144             551174.01
