== Nodes = 32
== Processes = 4096

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                     144.63
2                     191.22
4                     241.90
8                     347.04
16                    634.02
32                    881.25
64                   1433.36
128                  2095.82
256                  3687.21
512                  6916.82
1024                13076.31
2048                24482.31
4096                43226.72
8192                34525.64
16384               68995.35
32768              135695.17
65536              276114.68
131072             556659.05
