== Nodes = 16
== Processes = 2048

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                    8421.75
2                    8434.23
4                    8436.09
8                    8429.32
16                   8467.21
32                   8457.57
64                   8569.16
128                  8734.53
256                  9813.98
512                 11444.89
1024                16503.68
2048                26151.47
4096                46006.97
8192                87251.39
16384              173811.73
32768              347533.43
65536              696958.12
131072            1397296.44
262144            2808293.40
