== Nodes = 128
== Processes = 16384

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                     111.42
2                     159.72
4                     352.31
8                     659.18
16                   1220.17
32                   2046.10
64                   3691.60
128                  7140.17
256                 13408.31
512                 25139.37
1024                45424.38
2048                89449.91
4096               189417.31
8192               138011.12
16384              277695.41
32768              546787.60
