== Nodes = 8
== Processes = 1024

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      13.21
8                      13.12
16                     13.31
32                     13.49
64                     14.71
128                    17.99
256                    21.07
512                    34.06
1024                   42.75
2048                   63.35
4096                   58.83
8192                   63.94
16384                  68.09
32768                  92.07
65536                 125.30
131072                243.68
262144                482.78
524288                984.39
1048576              2124.83
