== Nodes = 8
== Processes = 1024

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                      28.75
2                      30.91
4                      36.61
8                      46.77
16                     68.27
32                    105.35
64                    253.39
128                   483.95
256                   949.01
512                  1685.23
1024                 3130.80
2048                 5941.08
4096                11421.11
8192                 8440.32
16384               16451.74
32768               33418.38
65536               68036.13
131072             136385.13
262144             272065.51
524288             549711.55
