== Nodes = 64
== Processes = 8192

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                      69.87
2                      94.38
4                     138.36
8                     325.83
16                    607.54
32                   1150.22
64                   1913.36
128                  3487.03
256                  6735.10
512                 12763.74
1024                24095.95
2048                43181.93
4096                84382.76
8192                68828.73
16384              138484.19
32768              273053.58
65536              556251.10
