== Nodes = 128
== Processes = 16384

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                  224502.31
2                  223685.77
4                  231758.40
8                  225394.54
16                 235980.70
32                 238647.11
64                 238206.69
128                230429.73
256                230504.88
512                234536.75
1024               252464.86
2048               345485.22
4096               604134.42
8192              1036262.01
