== Nodes = 64
== Processes = 8192

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                   59174.56
2                   58553.28
4                   58463.22
8                   58149.88
16                  59466.78
32                  59221.39
64                  59761.23
128                 60917.78
256                 63812.51
512                 70216.44
1024                87755.94
2048               134864.97
4096               242171.67
8192               396218.00
16384              747135.12
32768             1487431.19
65536             2981374.23
