== Nodes = 16
== Processes = 2048

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                      14.56
8                      15.20
16                     14.55
32                     14.67
64                     16.13
128                    19.49
256                    23.46
512                    40.52
1024                   49.16
2048                   77.88
4096                  142.53
8192                   77.86
16384                  79.81
32768                 105.99
65536                 141.84
131072                269.85
262144                506.61
524288               1005.20
1048576              2246.94
