== Nodes = 2
== Processes = 256

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                      10.90
2                      15.66
4                      16.52
8                      18.27
16                     21.68
32                     33.51
64                     52.60
128                    85.35
256                   203.84
512                   398.76
1024                  748.40
2048                  352.42
4096                  580.71
8192                 2074.42
16384                3909.85
32768                7786.73
65536               15778.72
131072              32060.57
262144              63822.68
524288             127182.76
1048576            254902.54
